web_scraper_order,web_scraper_start_url,data,data2,price,data3,image
"1775871079-1","https://www.marxfoods.com/meat/charcuterie/dry-cured","Saucisson Sec","8 pieces (about 5.15 lbs total)","Out of Stock","Quick View","https://www.marxfoods.com/images/Saucisson-Sec_SaucissonSec-1.jpg?resizeid=13&resizeh=200&resizew=200"
"1775871079-2","https://www.marxfoods.com/meat/charcuterie/dry-cured","Coppa","6 pieces (about 13 lbs total)","Out of Stock","Quick View","https://www.marxfoods.com/images/Bulk-Coppa-Wholesale_Coppa-1.jpg?resizeid=13&resizeh=200&resizew=200"
"1775871079-3","https://www.marxfoods.com/meat/charcuterie/dry-cured","All Natural Saucisse De Toulouse","40 links (10 lbs.)","Out of Stock","Quick View","https://www.marxfoods.com/images/Saucisse-De-Toulouse_AllNaturalSaucisseDeToulouse-1.jpg?resizeid=13&resizeh=200&resizew=200"
"1775871079-4","https://www.marxfoods.com/meat/charcuterie/dry-cured","Duck Prosciutto","6 packs (4.5 lbs.)","Out of Stock","Quick View","https://www.marxfoods.com/images/Proscuitto_DuckProsciutto-1.jpg?resizeid=13&resizeh=200&resizew=200"
