web_scraper_order,web_scraper_start_url,data,data2,price,data3,image
"1775871153-1","https://www.marxfoods.com/meat/charcuterie/smoked","Beeler's Pork Hickory Smoked Bacon","1 case minimum, 12 lbs","Out of Stock","Quick View","https://www.marxfoods.com/images/beelers-pure-pork-hickory-smoked-bacon_beelerspureporkhickorysmokedbacon-1.jpg?resizeid=13&resizeh=200&resizew=200"
"1775871153-2","https://www.marxfoods.com/meat/charcuterie/smoked","Smoked Ostrich Sausage w/ Pistachios","40 links (about 10 lbs total)","Out of Stock","Quick View","https://www.marxfoods.com/images/ostrich-sausage-smoked_OstrichSmokedwPistachios-1.jpg?resizeid=13&resizeh=200&resizew=200"
"1775871153-3","https://www.marxfoods.com/meat/charcuterie/smoked","Smoked Buffalo Sausage w/ Red Wine","1 case minimum, 9 lbs","Out of Stock","Quick View","https://www.marxfoods.com/sca-dev-2020-1/extensions/Cumula3/MarxFoodsTheme2025/26.0.3/img/no_image_available.jpeg?resizeid=13&resizeh=200&resizew=200"
